rubric_title,course,module,criterion,level4_name,level4_points,level4_description,level3_name,level3_points,level3_description,level2_name,level2_points,level2_description,level1_name,level1_points,level1_description
Course Rubric — DRAFT,20-ev-charging-infrastructure,,1) Conceptual Understanding,Level,,Description,Exemplary (4),4,"Demonstrates thorough, accurate, and insightful understanding of key course concepts.",Proficient (3),3,Demonstrates solid understanding with minor omissions.,Developing (2),2,Shows basic understanding but with notable gaps.
Course Rubric — DRAFT,20-ev-charging-infrastructure,,2) Procedural Skill & Accuracy,Level,,Description,Exemplary (4),4,Performs procedures accurately and efficiently with professional technique.,Proficient (3),3,Performs procedures correctly with minor errors.,Developing (2),2,Performs procedures with errors; requires guidance.
Course Rubric — DRAFT,20-ev-charging-infrastructure,,3) Application & Problem Solving,Level,,Description,Exemplary (4),4,"Applies concepts to solve complex, real-world problems effectively.",Proficient (3),3,Applies concepts to routine problems with success.,Developing (2),2,Attempts application but with limited success.
Course Rubric — DRAFT,20-ev-charging-infrastructure,,4) Safety & Professionalism,Level,,Description,Exemplary (4),4,"Consistently models safe, professional, and ethical behavior.",Proficient (3),3,Generally follows safety and professional norms.,Developing (2),2,Occasionally neglects safety or professionalism.
20-ev-charging-infrastructure - week-01-introduction,20-ev-charging-infrastructure,week-01-introduction,(list objectives for EV Charging Infrastructure),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for ev charging infrastructure).,Meets expectations (3),3,Competent performance meeting expected (list objectives for ev charging infrastructure).,Approaching (2),2,Partial performance showing basic (list objectives for ev charging infrastructure).
20-ev-charging-infrastructure - week-02-fundamentals,20-ev-charging-infrastructure,week-02-fundamentals,(list objectives for EV Charging Infrastructure),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for ev charging infrastructure).,Meets expectations (3),3,Competent performance meeting expected (list objectives for ev charging infrastructure).,Approaching (2),2,Partial performance showing basic (list objectives for ev charging infrastructure).
20-ev-charging-infrastructure - week-03-components,20-ev-charging-infrastructure,week-03-components,(list objectives for EV Charging Infrastructure),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for ev charging infrastructure).,Meets expectations (3),3,Competent performance meeting expected (list objectives for ev charging infrastructure).,Approaching (2),2,Partial performance showing basic (list objectives for ev charging infrastructure).
20-ev-charging-infrastructure - week-04-diagnostics,20-ev-charging-infrastructure,week-04-diagnostics,(list objectives for EV Charging Infrastructure),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for ev charging infrastructure).,Meets expectations (3),3,Competent performance meeting expected (list objectives for ev charging infrastructure).,Approaching (2),2,Partial performance showing basic (list objectives for ev charging infrastructure).
20-ev-charging-infrastructure - week-05-service-procedures,20-ev-charging-infrastructure,week-05-service-procedures,(list objectives for EV Charging Infrastructure),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for ev charging infrastructure).,Meets expectations (3),3,Competent performance meeting expected (list objectives for ev charging infrastructure).,Approaching (2),2,Partial performance showing basic (list objectives for ev charging infrastructure).
20-ev-charging-infrastructure - week-06-review,20-ev-charging-infrastructure,week-06-review,(list objectives for EV Charging Infrastructure),Level,,Description,Exceeds expectations (4),4,Advanced performance demonstrating exceptional (list objectives for ev charging infrastructure).,Meets expectations (3),3,Competent performance meeting expected (list objectives for ev charging infrastructure).,Approaching (2),2,Partial performance showing basic (list objectives for ev charging infrastructure).
